,GEOID,pickups_intract,NYPDfelony,units,perSQFTvalueC1,newperSQFTvalueC1,Pop_Den,Median_Household_Income,Gini_Index,Ave_Commute_Min,Unemployed_rate_16,Moved_after_2010
248,36047029500,37209.37868,53,,256.1796335,326.6094757,59845.46,54276,0.4816,40,0.060240964,0.287984742
249,36047029600,9515.839678,62,,336.839186,382.4489866,69080.05,44875,0.4918,44,0.093612335,0.35326087
250,36047029700,47714.86475,77,,294.7683867,372.2233326,50007.84,50260,0.5318,40,0.192822967,0.260869565
251,36047029800,9272.559775,88,,345.0001106,420.47235,45401.35,55938,0.5287,41,0.055150884,0.294802172
252,36047029900,33316.67746,68,,256.1780102,299.3972628,48051.96,22734,0.5014,41,0.163636364,0.303703704
253,36047030000,8190.252332,39,,276.8195103,367.2468892,53751.44,64615,0.4729,45,0.052578362,0.365196078
254,36047030100,24731.76997,84,,430.1407288,475.502585,36658.82,44911,0.476,40,0.18488746,0.257606491
255,36047030200,8868.000264,13,,286.1631131,380.3739564,53407,60370,0.4521,47,0.119417019,0.328418231
256,36047030300,32255.23522,116,,229.3990831,238.2177958,51251.09,19696,0.5045,46,0.169105691,0.327160494
257,36047030400,19522.81236,49,,272.7450043,357.0004588,21218.49,37837,0.4652,47,0.092071611,0.264086897
258,36047030500,74860.45229,109,147,319.4321675,411.3285607,47794.68,65701,0.4137,42,0.069896543,0.469467134
259,36047030600,4143.013369,19,,266.1634105,352.4026373,27132.69,60132,0.4696,41,0.075170843,0.218553459
260,36047030700,61659.24192,110,,261.8699406,300.6095844,41964.6,24706,0.4759,43,0.132256436,0.319680851
261,36047030800,14615.95291,49,,280.569793,356.5749687,7186.25,50189,0.4377,56,0.072144289,0.210013908
262,36047030900,33106.24136,110,,247.224335,299.8282329,38751.94,29375,0.5348,44,0.113537118,0.327659575
263,36047031100,33856.04206,101,,256.568237,322.6533121,49808.14,41683,0.4561,41,0.098297214,0.323766816
264,36047031300,40379.47044,94,,260.2650047,338.1684482,63157,34817,0.5392,44,0.081874356,0.365611715
265,36047031400,17934.88394,67,,288.2142548,368.5715252,13122.88,40486,0.4912,43,0.085641026,0.211690363
266,36047031500,41725.51841,174,,251.7795188,313.3054797,69130.13,54113,0.4324,46,0.167997445,0.379402586
267,36047031701,32436.6765,50,,242.3114674,299.2460629,60458.57,50205,0.4861,42,0.087472527,0.319444445
268,36047031702,32429.80222,65,46,245.931967,309.9059425,71463.41,53111,0.4182,43,0.118795769,0.458055926
269,36047031900,29115.38408,63,,286.3830706,337.5485369,64721.89,40744,0.4009,36,0.195316962,0.196254681
