,GEOID,FHVdiff,NYPDviolationDiff,NYPDmisdemeanorDiff,NYPDfelonyDiff,units,C1Diff,C2Diff,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
168,36047021400,6358.672733,-1,42,23,,53.7269022,53.0001813,-848.08816,1245,0.0297,-0.80381166,0.013742487,0.000495363,0
169,36047021500,32533.24031,-3,-6,3,,87.76536,147.7300395,502.88797,3075,0.0128,-0.93400649,0.016367607,-0.011114886,0
170,36047021600,6366.695777,-4,-8,-5,,33.6738739,53.2334904,1925.03489,1997,0.0317,2.41864018,0.02281543,-0.015467983,0
171,36047021700,17629.27385,-1,10,-8,,96.9997748,99.3823636,43.28425,3694,0.0102,-1.02110818,-0.053877083,0.000272861,-1
172,36047021800,5974.69061,4,-18,-11,,42.2471109,52.5414431,-131.28821,-5027,0.0733,0.76262626,0.026671693,0,0
173,36047021900,21673.93621,-8,-5,5,,87.5432367,166.3242334,387.49643,4445,-0.0025,-1.87941473,-0.011524501,0.00275558,2
174,36047022000,7354.899355,0,11,1,,20.7912208,59.1931758,2999.53491,260,0.001,-0.19784173,0.012153958,0.003409091,0
175,36047022100,22108.4474,-1,20,19,36,76.4789178,148.7098043,-4161.44715,5871,0.0546,-1.73446047,-0.003198777,0,-3
176,36047022200,6669.872318,-10,1,-3,,34.2987411,53.2734384,-5056.96643,-5163,-0.0179,-1.92913386,-0.015072818,0.005790963,2
177,36047022400,6646.368715,-4,-22,-19,,41.3089652,46.912108,-1268.69592,2568,0.0286,-4.35875564,0.006231724,0,1
178,36047022600,5912.715819,10,-6,-14,,45.945425,66.3074735,-2504.08293,-4172,0.0164,5.00492611,0.020065241,0.006018332,-3
179,36047022700,46399.03137,-15,-10,-5,100,74.5688824,32.492412,2657.13019,19399,0.015,0.05285868,-0.010153982,0.001535166,-5
180,36047022800,6336.681878,-5,-9,-3,,57.3027801,69.3009359,-835.61576,962,-0.0049,1.48428835,-0.025717989,0.000985073,-7
181,36047022900,33116.40201,3,-18,-10,,63.2338909,48.233455,-919.4365,8980,-0.0122,0.0526057,-0.019176207,-0.000251577,2
182,36047023000,5714.53917,0,-1,-7,,57.6976659,58.908851,5301.76588,5565,0.0056,-0.21119903,-0.020981914,7.51E-05,0
183,36047023100,30723.43979,-9,26,21,,127.0301396,60.885449,471.16547,-6136,0.0417,-1.7169615,-0.0213774,0,0
184,36047023200,8569.651329,1,14,7,,63.6752321,49.9511271,-1681.91079,-173,0.0009,-2.9801444,-0.004585553,0.006681503,-5
185,36047023300,27020.29673,11,30,5,,70.0923635,43.2932765,1145.47071,395,-0.0049,-1.72224781,-0.043231022,-0.003484025,5
186,36047023400,6427.600767,-4,-7,3,,49.1500478,50.2859145,-3127.2139,1067,-0.0135,-3.3,0.005021923,-0.000396966,0
187,36047023500,27284.48556,11,9,22,,58.5060349,46.9536166,859.83227,-5374,0.0643,-2.40273038,0.005564107,-0.002582431,-4
188,36047023600,6430.107045,-4,1,1,,59.3280892,54.6462671,-1921.30826,646,-0.0006,0.60786974,-0.001661504,0.001732804,0
189,36047023800,6431.340298,9,-8,-13,,68.9357378,54.1906603,-1509.31245,-1179,-0.0347,-2.30075188,0.011419782,-0.005178201,0
190,36047024000,6426.328501,-11,-2,-3,,57.502355,61.1011217,-2456.46703,3021,-0.0138,-1.4684466,-0.030956609,-0.000173999,2
191,36047024100,28336.2698,-6,-56,-30,,55.6871655,74.320634,4843.25154,-2377,0.0176,1.21132075,0.005083156,-0.009381663,-7
192,36047024200,7247.713627,3,9,6,,49.5916459,57.9297365,-879.31981,14417,-0.0005,-2.45641026,-0.003141125,0,1
