,GEOID,FHVDIFF,NYPDviolationDIFF,NYPDmisdemeanorDIFF,NYPDfelonyDIFF,units,C1DIFF,C2DIFF,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF,licenseDiff
83,36047012000,1.549564215,0.4,-0.385714286,-0.375,,0.089087184,0.261449976,0.039840639,0.765217391,0.034237996,0.015374332,0.019940186,-0.11229006,0.75
84,36047012100,1.246100743,-0.6875,-0.071428571,-0.096774194,,0.273173562,0.061419179,-0.003320339,0.037283308,-0.023889154,-0.006976154,-0.145625702,-0.003932767,-0.5
85,36047012200,1.526823507,-0.115384615,0.343283582,0.275,,0.098889005,0.237149392,0.015797807,0.023144828,-0.065032988,0.060569408,-0.041640578,-0.054123144,0.5
86,36047012600,2.189740039,-0.2,1.315789474,1.277777778,,0.082360178,0.03048708,0.030719053,0.123914037,0.035041029,0.03219697,0.158319541,-1,1.2
87,36047012700,1.286249822,-0.052631579,-0.01459854,-0.276595745,,0.191985306,0.207647661,0.069992318,0.059497636,0.044675419,0.029834836,0.175387186,,0.75
88,36047012801,2.196979039,-0.222222222,0.625,0.92,,0.057235699,0.190008165,0.021489902,0.188491877,-0.13253012,0.061808734,-0.364652347,-0.145520616,1
89,36047012901,1.128852183,-0.1,-0.032786885,-0.108949416,,0.248635668,0.1288881,-0.044625621,0.122723008,-0.023830538,-0.004452926,-0.374663068,,-0.333333333
90,36047012902,1.128721625,0.133333333,0.381578947,0.163636364,363,0.163688106,0.13930549,-0.07558155,0.224069997,-0.054538055,-0.007691088,-0.420868083,0.075104983,0.5
91,36047013000,2.203286413,0.21875,-0.085714286,-0.25,,0.126922129,0.040625102,-0.004019986,-0.04627361,0.022912206,0.089238238,-0.146294141,0.053750888,0
92,36047013100,1.127333337,0.125,-0.02739726,-0.102564103,,0.148282086,0.108718706,-0.025212075,0.117811523,0.037478378,9.80E-05,-0.394306042,1.15738442,1.166666667
93,36047013200,2.196994297,0.857142857,0.641025641,1.1875,,0.192122848,0.015865028,-0.0880268,-0.006516282,0.019546868,-0.091601995,0.038787794,0.058215918,3
94,36047013300,1.127333582,0.071428571,-0.087719298,-0.03125,,0.060152422,0.037397859,-0.003637149,-0.069213337,0.098761958,0.018201692,0.03467799,0.065922661,6
95,36047013400,2.203286378,0,0.125,0.046153846,,0.136688885,0.05027174,0.014507688,0.067294324,0.022949219,0.108342942,0.093692815,-1,-0.5
96,36047013500,1.127336013,0.266666667,0.666666667,0.384615385,,0.173909822,0.042069984,-0.027070957,-0.104154277,0.021307109,0.014878049,-0.360294741,-0.160488438,0
97,36047013600,2.203286338,0.038461538,0.083333333,-0.075,,0.13961857,0.085473601,0.034880642,-0.010048964,-0.002290951,0.019697406,0.354292503,-0.402370054,0.5
