,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,HousepriceDiffC1,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,HousepriceDiffC2,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16
678,36047097400,12033.79141,74,161,98,,266.3089504,299.6406345,33.3316841,224.8996672,257.0388711,32.1392039,30451.73127,60417,0.3378,48.8974359,0.094240838,0
679,36047098200,16483.03577,64,137,86,,,,0,203.4841265,228.6629091,25.1787826,31778.30424,23279,0.4627,49.1695622,0.136416862,0
680,36047098400,5380.094691,24,49,29,,182.6360924,241.7442531,59.1081607,204.2746513,208.8615274,4.5868761,49196.02154,67961,0.3758,43.68737475,0.044748858,0.008099095
681,36047098600,7437.794126,17,42,30,,195.1078514,255.0665922,59.9587408,196.2242926,204.4355682,8.2112756,51593.51906,66845,0.3569,46.11684958,0.090548953,0
682,36047098800,7722.517162,30,58,43,,255.8466173,302.3679294,46.5213121,211.7536872,216.675167,4.9214798,52506.3489,65921,0.3949,43.18782098,0.079842932,0.01042625
683,36047099000,7807.480046,19,55,35,,305.6024703,315.3432335,9.7407632,204.2924999,236.9008857,32.6083858,28063.83253,88824,0.4975,42.07097458,0.082464455,0
684,36047099200,6418.862342,12,42,23,,274.5964523,295.4015966,20.8051443,221.6047487,253.4304938,31.8257451,39869.05939,67411,0.3955,53.01546392,0.063079777,0
685,36047099400,8296.174559,21,41,22,,191.5986827,248.1209367,56.522254,271.6230385,278.9579323,7.3348938,27363.32684,65489,0.3795,46.74479167,0.053486151,0
686,36047099600,9045.899295,28,47,25,,199.655262,244.542617,44.887355,253.0953378,275.4476747,22.3523369,57686.36313,69444,0.4285,48.29882353,0.118609407,0.007635409
687,36047099800,19962.5724,18,55,33,,180.7917347,219.3341366,38.5424019,229.1397573,236.7127725,7.5730152,20739.25491,71829,0.3412,47.90303391,0.073800738,0.023283582
688,36047100400,6297.349491,9,25,19,,185.5671321,243.4011355,57.8340034,274.5192308,272.5961538,-1.923077,56623.01255,68700,0.4116,50.22398844,0.082270408,0
689,36047100600,7254.022683,15,34,26,,229.9628847,296.2132773,66.2503926,308.1542232,319.8152338,11.6610106,45732.91318,78304,0.3973,51.87760779,0.082360172,0.021324355
690,36047100800,7100.57294,13,43,30,,230.0368839,276.0670555,46.0301716,230.0336464,275.0946135,45.0609671,38824.25003,62794,0.4461,50.94375596,0.090604027,0
691,36047101000,8170.923316,23,34,19,,245.8293223,280.5507865,34.7214642,241.0869489,260.659274,19.5723251,34418.69626,59386,0.4717,51.31605691,0.132427844,0
692,36047101200,7666.212219,18,31,22,,240.6548876,317.0063751,76.3514875,192.919705,239.5490327,46.6293277,36426.51417,54375,0.3767,50,0.101555352,0
693,36047101400,7389.30786,11,20,12,,226.9387501,302.40451,75.4657599,,,0,36538.0294,60625,0.4128,49.82296651,0.078834619,0.003211009
