,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,BBLE_x,CUR_FV_T_x,GR_SQFT_x,NEW_FV_T_x,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,BBLE_y,CUR_FV_T_y,GR_SQFT_y,NEW_FV_T_y,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Median_house_Value,Median_Rent,Housing_Units,Total_pop,Pop_Den,Median_Household_Income,Ratio_income_to_poverty_level_under_2,Gini_Index,Ave_Commute_Min,Dropout_16_19,Bachelor_up_25_64,Unemployed_rate_16,Occupied_Housing_Units_2015_,Occupied_Housing_Units_2010_2014,Occupied_Housing_Units_2010_before,Black,White,Asian
446,36047051700,161432.5036,16,69,44,33,3023094455,1373805.556,2610.277778,1519833.333,545.6780008,597.2814763,3023057829,1648194.628,14384.78512,1928547.43,228.042492,305.4440101,972100,2214,1107,1998,27618.5,100814,366,0.474,30,0,0.763335377,0.049201278,0,0.513786765,0.486213235,0.067067067,0.793293293,0.121621622
447,36047051800,26663.43525,12,55,30,,3051926747,1418140.244,3497.579268,1634189.024,412.9530877,477.8298681,3052256109,1534108.696,29529.3913,1746673.913,348.1419821,428.0033015,525900,1321,1485,3481,44780.5,69856,836,0.4767,42,0,0.418615752,0.093623482,0,0.254873646,0.745126354,0.392415972,0.348463085,0.109164033
448,36047051900,235758.7324,33,135,73,,3023433010,952729.8851,2597.821839,1116149.425,411.2511619,483.3513934,3023369612,1374625.483,14473.28958,1782502.363,246.229009,297.2369975,906300,2095,2465,4299,40691,87087,1055,0.4464,32,0,0.766376812,0.052772013,0.062611012,0.435612789,0.501776199,0.032100488,0.805070947,0.082809956
449,36047052000,25238.57856,29,88,54,,3051833648,995893.5361,2663.228137,1280091.255,394.4153013,510.3493085,3052092523,1053149.254,15960.37313,1168104.478,286.4714744,354.7597675,653700,1271,1522,4566,62054.68,47130,2356,0.5165,42,0,0.392561983,0.08707483,0.05963939,0.107489598,0.832871012,0.2065265,0.26544021,0.340779676
450,36047052300,100587.0281,44,147,77,,3024143931,836578.125,2855.1875,1056906.25,315.8757972,389.610281,3024154764,1333603.261,13003.69565,1512478.261,243.2937277,283.7754658,,1179,2437,5670,103348,43076,2591,0.481,33,0,0.527404922,0.043110982,0.006331786,0.292950612,0.700717602,0.022045855,0.697178131,0.064021164
451,36047052500,86355.12365,52,152,95,82,3021410407,783500,3358.230769,951423.0769,248.448128,298.8905973,3022429485,1322359.551,18799.39326,1454033.708,249.8656939,295.76893,,719,1210,3338,68945.72,20993,2144,0.5879,28,0,0.271137026,0.038367347,0,0.202586207,0.797413793,0.052426603,0.824445776,0.03565009
452,36047052600,22425.02289,25,90,53,,3051750652,922561.8557,2666.427835,1188654.639,366.0472452,474.0404158,3051738518,2408790.698,39285.53488,2698627.907,243.4111044,312.133083,636600,1473,1805,4712,72072.42,60159,1968,0.436,44,0,0.545862973,0.080297398,0.037874505,0.33182589,0.630299604,0.240025467,0.454584041,0.137945671
453,36047052700,131955.2951,47,190,113,,3024460687,941434.7826,2601.026087,1103747.826,366.7720114,430.2974549,3024456750,1259102.564,11543.34872,1420471.795,243.4488787,281.9874624,637900,1049,2524,6705,91107.77,32022,3742,0.5137,32,0.155234657,0.374036609,0.141205615,0,0.312053759,0.687946241,0.135868755,0.502162565,0.039075317
454,36047052800,23251.66581,12,34,24,,3066895756,957584.0336,2683.680672,1202551.261,367.7320285,465.3987402,3066886747,1000832.258,13670.16129,1101677.742,221.4052268,251.5980688,908000,1340,718,1843,27183.69,88068,457,0.4869,48,0,0.57591623,0.03440367,0,0.269051322,0.730948678,0.061313077,0.615301139,0.279978296
455,36047052900,12204.18344,15,67,40,,3022083420,878704.918,3261.125683,1053486.339,281.365745,336.9791805,3022000078,874962.406,13154.59398,934886.9173,218.1079051,227.491103,473700,980,1024,3994,59147.43,31962,3116,0.4809,22,0,0.16460177,0.038626609,0,0.268470343,0.731529657,0.017275914,0.906609915,0
456,36047053000,9952.674048,18,54,37,,3067006232,739118.8811,2306.248252,845097.9021,340.0053272,389.1628139,3067028839,1261898.747,12951.40506,1338968.354,211.1526966,236.8452348,687500,1287,1197,3619,54103.22,37273,2135,0.5143,38,0,0.340206186,0.102549247,0.013227513,0.257495591,0.729276896,0.03868472,0.658192871,0.275490467
457,36047053100,40496.25553,20,59,36,,3022382682,662264.1509,3075.292453,785052.8302,242.7948175,290.5124764,3022476017,377988.8526,16281.44872,434448.7179,190.9619286,215.0510856,700700,1672,1704,8924,143056.4,33945,6943,0.6168,23,0.031779661,0.146379648,0.01642984,0.040889958,0.292242934,0.666867108,0.003585836,0.97568355,0.005826983
458,36047053200,9999.382861,12,39,26,,3067116133,704470.3557,2200.268775,809177.8656,330.6184961,379.1321225,3067087768,3060937.5,29119.9375,3258441.563,228.3142689,240.129461,492200,1239,1017,2539,37726.64,49395,980,0.5328,43,0,0.43393276,0.12594697,0.022653722,0.25566343,0.721682848,0.069712485,0.617172115,0.280425364
459,36047053300,13519.24728,9,28,20,,3022130183,898312.6844,3226.070796,910548.6726,290.2647447,296.236964,3022105635,326989.6373,6794.243523,376580.3109,220.4716599,216.5449047,631900,1165,1787,6905,92281.45,20931,5789,0.5866,21,0,0.063575526,0.004776119,0.006555423,0.197258641,0.796185936,0.012165098,0.974945692,0.011585807
460,36047053400,9937.891884,18,59,31,,3067202808,712828.4884,2235.107558,824683.1395,333.5814923,385.7242734,3067164092,1256057.971,14532.72464,1335507.681,229.203759,243.8300667,627400,1241,1382,4227,63143.84,31004,2665,0.5526,34,0,0.302840636,0.12555205,0.017200938,0.313526192,0.669272869,0.057014431,0.657913414,0.224272534
461,36047053500,9051.19709,6,40,26,,3021793737,894604.9383,3498.679012,990407.4074,269.8443779,298.1114245,3021820227,547794.5946,8799.767568,599989.1351,245.0533698,244.6460718,850000,1059,1163,4326,86385.52,20044,3539,0.4397,19,0,0.077260755,0.050757576,0,0.316317229,0.683682771,0.037447989,0.920018493,0
462,36047053700,11683.27529,6,42,27,,3022170279,715592.5926,3366.432099,722074.0741,226.8513352,235.9764882,3022286495,784438.0952,15661.40952,841371.4286,224.3941428,252.1654179,641200,1168,701,3392,52461.41,26346,2611,0.4088,21,0.019379845,0.064403829,0.015258216,0,0.166666667,0.833333333,0.015330189,0.945754717,0.009433962
463,36047053800,9426.020352,14,63,38,,3067526481,697649.1228,2061.350877,763321.6374,373.5063998,398.9294242,3067427093,1409791.778,23789.01111,1565906.667,237.0116911,238.6657475,548800,1268,2107,4265,67170.76,27192,2669,0.4903,37,0,0.386264004,0.088613626,0.006930693,0.335148515,0.657920792,0.02133646,0.84056272,0.037983587
464,36047053900,7070.379736,1,6,5,,3021889392,951593.75,5364.21875,996000,181.2903079,187.99764,3021949865,3716058.824,67403.05882,3889000,200.4916737,192.8114352,681500,1056,835,2638,67394.52,19602,1894,0.5221,25,0,0.102283105,0.086549708,0,0.059683313,0.940316687,0.03070508,0.927217589,0.003790751
465,36047054200,10842.89554,17,90,55,,3067544418,767614.2857,2388.78,862125.7143,341.1764449,383.662991,3067554914,1078148.649,17032.28378,1228378.378,214.261259,245.9242793,646000,1293,1645,4719,64609.71,39468,2247,0.5021,38,0,0.456026059,0.109738013,0.012730745,0.231063017,0.756206238,0.038143675,0.775588048,0.061029879
466,36047054300,64470.60416,6,84,51,,,,,,,,3018821655,6484670.091,125567.8485,6782878.788,302.7135815,384.8865244,,2331,191,382,940.6829,92500,123,0.3787,39,0,0.640740741,0.103225806,0.119047619,0.642857143,0.238095238,0.206806283,0.554973822,0.02617801
467,36047054400,10890.68982,1,39,29,,3067631278,710816.8675,2124.028916,799281.9277,349.6626819,397.960232,3067620432,1510480,30320.48,1700880,256.9530707,268.2393891,569200,1237,1344,2918,39775.93,44453,1043,0.5754,32,0,0.435154707,0.064848931,0,0.190632703,0.809367297,0,0.911583276,0.083618917
468,36047054500,11702.09286,39,95,57,,,,,,,,3021730999,5906043.478,209348.9565,6418779.565,275.0521238,279.9697398,454200,406,2419,7169,110679.7,16638,5473,0.6403,27,0.009950249,0.04955265,0.089465326,0,0.046100819,0.953899181,0.101129865,0.840424048,0
469,36047054600,10352.29426,10,48,35,,3069060440,778536.2319,2064.657005,835893.7198,409.2245862,435.1088124,3069291805,1889894.667,32634.875,2076791.944,213.5458222,239.2045235,647100,1240,1999,4457,63894.22,31868,1882,0.5815,40,0,0.489153552,0.087807326,0.020788913,0.273987207,0.705223881,0.018173659,0.91339466,0.053174781
