,GEOID,pickups_intract,NYPDviolation,NYPDmisdemeanor,NYPDfelony,units,CUR_FV_T_perSQFT_x,NEW_FV_T_perSQFT_x,CUR_FV_T_perSQFT_y,NEW_FV_T_perSQFT_y,Pop_Den_15,Median_Household_Income_15,Gini_Index_15,Ave_Commute_Min_15,Unemployed_rate_15,Moved_in_4years_15,Pop_Den_16,Median_Household_Income_16,Gini_Index_16,Ave_Commute_Min_16,Unemployed_rate_16,Moved_in_4years_16,Pop_Den_16DIFF,Median_Household_Income_16DIFF,Gini_Index_16DIFF,Ave_Commute_Min_16DIFF,Unemployed_rate_16DIFF,Moved_in_4years_16DIFF
161,36047020500,65640.86445,14,54,35,,518.531888,672.3089163,695.171467,789.1032089,44547.32,78000,0.4427,38,0.042058387,0.00879443,43833.78488,80496,0.4819,40.96176822,0.053115424,0.012285927,-713.53512,2496,0.0392,2.96176822,0.011057037,0.003491497
162,36047020600,5986.560778,13,30,20,,441.8059151,495.5965573,237.1961506,242.2921201,41133.6,89743,0.4482,44,0.0972316,0,38883.86998,83594,0.4629,46.08264463,0.073884418,0,-2249.73002,-6149,0.0147,2.08264463,-0.023347182,0
163,36047020700,56477.51737,14,53,29,,531.6203619,702.8750573,827.4360489,885.8025468,84656.35,97353,0.4618,37,0.053163731,0,80438.46766,99327,0.4608,36.61544523,0.033038147,0,-4217.88234,1974,-0.001,-0.38455477,-0.020125584,0
164,36047020800,5035.490417,7,23,17,,350.1718894,397.895239,218.4954154,229.6782702,59131.16,56003,0.5122,49,0.089721749,0.007977907,57685.40667,52500,0.5483,47.93708851,0.105365223,0.008799497,-1445.75333,-3503,0.0361,-1.06291149,0.015643474,0.00082159
165,36047021000,5270.869187,8,47,31,,384.4661743,434.1447673,227.8132383,302.4833506,85392,44722,0.4494,45,0.127366609,0.005275974,77933.57856,45586,0.4626,45.40827147,0.090081893,0.004678102,-7458.42144,864,0.0132,0.40827147,-0.037284716,-0.000597872
166,36047021100,64230.65757,14,36,22,,333.9380544,467.6239715,218.9699983,261.0710759,18332.05,43000,0.5286,42,0.091925466,0.00443787,21225.87947,45909,0.5493,42.13475177,0.079545455,0.003868472,2893.82947,2909,0.0207,0.13475177,-0.012380011,-0.000569398
167,36047021200,6705.212271,14,57,32,,423.6886408,491.0766378,235.9047116,304.1783995,70248.74,35330,0.4389,54,0.07125,0,69733.0043,38068,0.4432,47.47901119,0.072185971,0,-515.7357,2738,0.0043,-6.52098881,0.000935971,0
168,36047021300,35348.17509,59,194,98,,355.2459899,445.689841,794.0820908,972.7818996,60419.36,38750,0.5019,43,0.206297941,0,60011.50556,40967,0.4842,43.39725243,0.190495868,0.003342086,-407.85444,2217,-0.0177,0.39725243,-0.015802073,0.003342086
169,36047021400,8491.926011,7,72,39,,384.7949255,438.5218277,208.3770323,261.3772136,37578.07,55184,0.4131,51,0.035514019,0.002964845,36729.98184,56429,0.4428,50.19618834,0.049256506,0.003460208,-848.08816,1245,0.0297,-0.80381166,0.013742487,0.000495363
170,36047021500,61481.10135,21,80,59,,355.4379916,443.2033516,784.9881146,932.7181541,86093.78,61723,0.4781,45,0.039118286,0.014070551,86596.66797,64798,0.4909,44.06599351,0.055485893,0.002955665,502.88797,3075,0.0128,-0.93400649,0.016367607,-0.011114886
